verdant:   adj. Green with vegetation. 
foppish:   adj. Characteristic of one who is unduly devoted to dress and the niceties of manners. 
decalogue:   n. The ten commandments. 
rotund:   adj. Round from fullness or plumpness. 
reservoir:   n. A receptacle where a quantity of some material, especially of a liquid or gas, may be kept. 
linear:   adj. Of the nature of a line. 
salutatory:   n. The opening oration at the commencement in American colleges. 
freethinker:   n. One who rejects authority or inspiration in religion. 
optic:   n. Pertaining to the eye or vision. 
logician:   n. An expert reasoner. 
forgo:   v. To deny oneself. 
employer:   n. One who uses or engages the services of other persons for pay. 
opulence:   n. Affluence. 
equalize:   v. To render uniform. 
melodrama:   n. A drama with a romantic story or plot and sensational situation and incidents. 
whereabouts:   n. The place in or near which a person or thing is. 
askance:   adv. With a side or indirect glance or meaning. 
enrage:   v. To infuriate. 
accuse:   v. To charge with wrong doing, misconduct, or error. 
testament:   n. A will. 
bungle:   v. To execute clumsily. 
illimitable:   adj. Boundless. 
belay:   v. To make fast, as a rope, by winding round a cleat. 
facilitate:   v. To make more easy. 
foresail:   n. A square sail. 
low-spirited:   adj. Despondent. 
anthracite:   n. Hard coal. 
ailment:   n. Slight sickness. 
nugatory:   adj. Having no power or force. 
frivolity:   n. A trifling act, thought, saying, or practice. 
submersion:   n. The act of submerging. 
dolor:   n. Lamentation. 
extraordinary:   adj. Unusual. 
laborious:   adj. Toilsome. 
harmonious:   adj. Concordant in sound. 
sanction:   v. To approve authoritatively. 
accomplish:   v. To bring to pass.
abdominal:   n. Of, pertaining to, or situated on the abdomen. 
residue:   n. A remainder or surplus after a part has been separated or otherwise treated. 
effluvium:   n. A noxious or ill-smelling exhalation from decaying or putrefying matter. 
statuette:   n. A figurine. 
vitiate:   v. To contaminate. 
aide-de-camp:   n. An officer who receives and transmits the orders of the general. 
necessary:   adj. Indispensably requisite or absolutely needed to accomplish a desired result. 
conspirator:   n. One who agrees with others to cooperate in accomplishing some unlawful purpose. 
fiducial:   adj. Indicative of faith or trust. 
reminiscence:   n. The calling to mind of incidents within the range of personal knowledge or experience. 
intrude:   v. To come in without leave or license. 
devilry:   n. Malicious mischief. 
exit:   n. A way or passage out. 
cadenza:   n. An embellishment or flourish, prepared or improvised, for a solo voice or instrument. 
oversee:   v. To superintend. 
manufacturer:   n. A person engaged in manufacturing as a business. 
invalid:   adj. Having no force, weight, or cogency. 
cursory:   adj. Rapid and superficial. 
scabbard:   n. The sheath of a sword or similar bladed weapon. 
bursar:   n. A treasurer. 
kilometer:   n. A length of 1,000 meters. 
insignificant:   adj. Without importance, force, or influence. 
despotism:   n. Any severe and strict rule in which the judgment of the governed has little or no part. 
reticent:   adj. Habitually keeping silent or being reserved in utterance. 
accusation:   n. A charge of crime, misdemeanor, or error. 
autocracy:   n. Absolute government. 
deposition:   n. Testimony legally taken on interrogatories and reduced to writing, for use as evidence in court.
retention:   n. The keeping of a thing within one's power or possession. 
neo-Darwinsim:   n. Darwinism as modified and extended by more recent students. 
acumen:   n. Quickness of intellectual insight, or discernment; keenness of discrimination. 
morality:   n. Virtue. 
confront:   v. To encounter, as difficulties or obstacles. 
inconceivable:   adj. Incomprehensible. 
paternal:   adj. Fatherly. 
participate:   v. To receive or have a part or share of. 
obligatory:   adj. Binding in law or conscience. 
rapid:   adj. Having great speed. 
discredit:   v. To injure the reputation of. 
obstetrics:   n. The branch of medical science concerned with the treatment and care of women during pregnancy. 
administrator:   n. One who manages affairs of any kind. 
possible:   adj. Being not beyond the reach of power natural, moral, or supernatural. 
forego:   v. To deny oneself the pleasure or profit of. 
ubiquitous:   adj. Being present everywhere. 
epicycloid:   n. A curve traced by a point on the circumference of a circle which rolls upon another circle. 
noxious:   adj. Hurtful. 
conscious:   adj. Aware that one lives, feels, and thinks. 
likelihood:   n. A probability. 
pervious:   adj. Admitting the entrance or passage of another substance. 
supernatural:   adj. Caused miraculously or by the immediate exercise of divine power. 
olfactory:   adj. of or pertaining to the sense of smell. 
herbivorous:   adj. Feeding on herbs or other vegetable matter, as animals. 
alteration:   n. Change or modification. 
noisy:   adj. Clamorous. 
betroth:   v. To engage to marry. 
dubious:   adj. Doubtful. 
wreak:   v. To inflict, as a revenge or punishment. 
fresco:   n. The art of painting on a surface of plaster, particularly on walls and ceilings. 
alluvion:   n. Flood. 
profligate:   adj. Abandoned to vice. 
outstretch:   v. To extend. 
external:   n. Anything relating or belonging to the outside. 
reflection:   n. The throwing off or back of light, heat, sound, or any form of energy that travels in waves. 
meliorate:   v. To make better or improve, as in quality or social or physical condition. 
regality:   n. Royalty. 
subservient:   adj. Servilely following another's behests. 
irrigate:   v. To water, as land, by ditches or other artificial means. 
vaporizer:   n. An atomizer. 
prima:   adj. First. 
masonry:   n. The art or work of constructing, as buildings, walls, etc., with regularly arranged stones. 
defensive:   adj. Carried on in resistance to aggression. 
juggle:   v. To play tricks of sleight of hand. 
inexpedient:   adj. Unadvisable. 
ecstatic:   adj. Enraptured. 
liking:   n. Fondness. 
disrepute:   n. A bad name or character. 
poetics:   n. The rules and principles of poetry. 
reducible:   adj. That may be reduced. 
confiscate:   v. To appropriate (private property) as forfeited to the public use or treasury. 
pulmonary:   adj. Pertaining to the lungs. 
evoke:   v. To call or summon forth. 
decamp:   v. To leave suddenly or unexpectedly. 
conjugate:   adj. Joined together in pairs. 
convalesce:   v. To recover after a sickness. 
realism:   n. The principle and practice of depicting persons and scenes as they are believed really to exist. 
landscape:   n. A rural view, especially one of picturesque effect, as seen from a distance or an elevation. 
cantata:   n. A choral composition. 
pious:   adj. Religious. 
abstemious:   adj. Characterized by self denial or abstinence, as in the use of drink, food. 
parity:   n. Equality, as of condition or rank. 
disputation:   n. Verbal controversy. 
panacea:   n. A remedy or medicine proposed for or professing to cure all diseases. 
preoccupy:   v. To fill the mind of a person to the exclusion of other subjects. 
abomination:   n. A very detestable act or practice. 
provident:   adj. Anticipating and making ready for future wants or emergencies. 
drought:   n. Dry weather, especially when so long continued as to cause vegetation to wither. 
prolong:   v. To extend in time or duration. 
anemometer:   n. An instrument for measuring the force or velocity of wind. 
Pantheon:   n. A circular temple at Rome with a fine Corinthian portico and a great domed roof. 
recant:   v. To withdraw formally one's belief (in something previously believed or maintained). 
autobiography:   n. The story of one's life written by himself. 
coddle:   v. To treat as a baby or an invalid. 
rampart:   n. A bulwark or construction to oppose assault or hostile entry. 
forecast:   v. To predict. 
messieurs:   n. pl. Gentlemen. 
sheer:   adj. Absolute. 
prefer:   v. To hold in higher estimation. 
sidelong:   adj. Inclining or tending to one side. 
ravine:   n. A deep gorge or hollow, especially one worn by a stream or flow of water. 
matinee:   n. An entertainment (especially theatrical) held in the daytime. 
cajole:   v. To impose on or dupe by flattering speech. 
forcible:   adj. Violent. 
journalize:   v. To keep a diary. 
execration:   n. An accursed thing. 
knavery:   n. Deceitfulness in dealing. 
euphony:   n. Agreeableness of sound. 
legionary:   n. A member of an ancient Roman legion or of the modern French Legion of Honor. 
satyr:   n. A very lascivious person. 
officious:   adj. Intermeddling with what is not one's concern. 
impulsion:   n. Impetus. 
distrain:   v. To subject a person to distress. 
livelihood:   n. Means of subsistence. 
stanchion:   n. A vertical bar, or a pair of bars, used to confine cattle in a stall. 
declension:   n. The change of endings in nouns and adj. to express their different relations of gender. 
hypodermic:   adj. Pertaining to the area under the skin. 
cupidity:   n. Avarice. 
congregate:   v. To bring together into a crowd. 
parley:   v. To converse in. 
liniment:   n. A liquid preparation for rubbing on the skin in cases of bruises, inflammation, etc. 
crass:   adj. Coarse or thick in nature or structure, as opposed to thin or fine. 
boisterous:   adj. Unchecked merriment or animal spirits. 
positive:   adj. Free from doubt or hesitation. 
revert:   v. To return, or turn or look back, as toward a former position or the like. 
necromancer:   n. One who practices the art of foretelling the future by means of communication with the dead. 
circumnavigate:   v. To sail quite around. 
homologous:   adj. Identical in nature, make-up, or relation. 
pedagogue:   n. A schoolmaster. 
synchronism:   n. Simultaneousness. 
incoherence:   n. Want of connection, or agreement, as of parts or ideas in thought, speech, etc. 
payee:   n. A person to whom money has been or is to be paid. 
appertain:   v. To belong, as by right, fitness, association, classification, possession, or natural relation. 
